"month";"yrmon";"cvd";"temp"
"87";3;1994.167;1358;58.968
"88";4;1994.25;1293;64.033
"89";5;1994.333;1361;65.121
"90";6;1994.417;1178;66.217
"91";7;1994.5;1217;54.75
"92";8;1994.583;1265;57.982
"93";9;1994.667;1120;58.968
"94";10;1994.75;1330;64.033
"95";11;1994.833;1362;65.121
"96";12;1994.917;1451;66.217
"97";1;1995;1402;54.75
"98";2;1995.083;1266;57.982
"99";3;1995.167;1398;58.968
"100";4;1995.25;1313;64.033
"101";5;1995.333;1298;65.121
"102";6;1995.417;1187;66.217
"103";7;1995.5;1232;54.75
"104";8;1995.583;1275;57.982
"105";9;1995.667;1200;58.968
"106";10;1995.75;1275;64.033
"107";11;1995.833;1345;65.121
"108";12;1995.917;1602;66.217
"109";1;1996;1680;54.75
"110";2;1996.083;1387;57.982
"111";3;1996.167;1393;58.968
"112";4;1996.25;1293;64.033
"113";5;1996.333;1263;65.121
"114";6;1996.417;1174;66.217
"115";7;1996.5;1216;54.75
"116";8;1996.583;1200;57.982
"117";9;1996.667;1131;58.968
"118";10;1996.75;1231;64.033
"119";11;1996.833;1304;65.121
"120";12;1996.917;1515;66.217
"121";1;1997;1752;54.75
"122";2;1997.083;1445;57.982
"123";3;1997.167;1409;58.968
"124";4;1997.25;1273;64.033
"125";5;1997.333;1237;65.121
"126";6;1997.417;1166;66.217
"127";7;1997.5;1186;54.75
"128";8;1997.583;1264;57.982
"129";9;1997.667;1163;58.968
"130";10;1997.75;1234;64.033
"131";11;1997.833;1261;65.121
"132";12;1997.917;1775;66.217
"133";1;1998;1920;54.75
"134";2;1998.083;1297;57.982
"135";3;1998.167;1379;58.968
"136";4;1998.25;1296;64.033
"137";5;1998.333;1312;65.121
"138";6;1998.417;1176;66.217
"139";7;1998.5;1201;54.75
"140";8;1998.583;1159;57.982
"141";9;1998.667;1174;58.968
"142";10;1998.75;1336;64.033
"143";11;1998.833;1278;65.121
"144";12;1998.917;1453;66.217
"145";1;1999;1651;54.75
"146";2;1999.083;1412;57.982
"147";3;1999.167;1559;58.968
"148";4;1999.25;1441;64.033
"149";5;1999.333;1403;65.121
"150";6;1999.417;1289;66.217
"151";7;1999.5;1281;54.75
"152";8;1999.583;1250;57.982
"153";9;1999.667;1138;58.968
"154";10;1999.75;1313;64.033
"155";11;1999.833;1391;65.121
"156";12;1999.917;1960;66.217
"157";1;2000;1927;54.75
"158";2;2000.083;1430;57.982
"159";3;2000.167;1527;58.968
"160";4;2000.25;1333;64.033
"161";5;2000.333;1343;65.121
"162";6;2000.417;1171;66.217
"163";7;2000.5;1200;54.75
"164";8;2000.583;1285;57.982
"165";9;2000.667;1229;58.968
"166";10;2000.75;1325;64.033
"167";11;2000.833;1409;65.121
"168";12;2000.917;1455;66.217
