Idade ;Género;Estado Civil ;Nível de Escolaridade ;Qual o Concelho em que vive;Distrito de Residência;Região de Residência;Qual o Concelho de destino da maioria das deslocações quotidianas;Qual o modo de transporte que MAIS usa diariamente?;Utiliza outro modo de transporte diariamente? Indique quais;Qual a distância de sua casa até ao local de destino mais habitual (em km)?;Quanto tempo demora de casa ao local de destino mais habitual?;Costuma usar a bicicleta maioritariamente para ;Como Modo de Transporte utiliza a Bicicleta quantos dias por semana?;Gostaria de usar mais vezes a bicicleta na deslocação diária (como modo de transporte)?;Porque não usa a bicicleta como modo de transporte?;O que o/a faria usar (ou usar mais) a bicicleta como modo de transporte?;Quantos  pedala por semana, enquanto modo de transporte?;Qual o tipo de bicicleta que mais utiliza?;Em média quantos dias por semana pedala (considerando todos os modos);Quantos km pedala por semana, enquanto lazer?;Quanto km pedala por semana, enquanto deporto?
50-54 anos;Masculino;Casado/a;Licenciatura;Aveiro;Aveiro;Centro;Aveiro;A pé;De Carro (Condutor);0,250;Menos de 5 minutos;Para Lazer;;Sim;;Ter vantagens por ir de bicicleta para o destino;0;Bicicleta de Montanha;1;2;
45-49 anos;Masculino;Unido de Facto;Ensino Secundário;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;250;mais de 36 minutos;Não uso;;;Não gosto de andar de bicicleta, A minha profissão não permite andar de bicicleta ;Nada, não gosto., Não me posso deslocar de bicicleta, O meu trabalho não me permite usar a bicicleta;;;;;
40-44 anos;Masculino;Unido de Facto;Doutoramento;Braga;Braga;Norte;Braga;De Carro (Condutor);De Carro (Condutor);250;mais de 36 minutos;Não uso;;;A minha profissão não permite ;Nada, não gosto., O meu trabalho não me permite usar a bicicleta;;;;;
45-49 anos;Masculino;Unido de Facto;Formação Técnica;Braga;Braga;Norte;Braga;De Carro (Condutor);De Carro (Condutor);250;mais de 36 minutos;Não uso;;;Não gosto de andar de bicicleta, Não acho prático;O meu trabalho não me permite usar a bicicleta;;;;;
40-44 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);De Carro (Condutor);250;mais de 36 minutos;Não uso;;;Não gosto de andar de bicicleta, Não acho prático;Nada, não gosto., O meu trabalho não me permite usar a bicicleta;;;;;
45-49 anos;Masculino;Solteiro/a;Outro;Coimbra;Coimbra;Centro;Coimbra;De Bicicleta;A pé, De Carro (Condutor);230;mais de 36 minutos;Para Lazer;4;Sim;;Mais nada, já vou de bicicleta., Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte, contribuir para a saúde de todo/as;20;Bicicleta de Montanha;4;20;40
45-49 anos;Masculino;Casado/a;Ensino Secundário;Sines;Setúbal;Alentejo;Alcácer do Sal;De Carro (Condutor);De Bicicleta;200;mais de 36 minutos;Para Lazer;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;1;40;40
45-49 anos;Masculino;Casado/a;Licenciatura;Ílhavo;Aveiro;Centro;Alcobaça;De Carro (Condutor);A pé;180;mais de 36 minutos;Para Lazer;1;Não;;Só se passasse a morar mais perto do destino;0;Bicicleta Urbana/Convencional;1;5;
25-29 anos;Feminino;Solteiro/a;Mestrado;Braga;Braga;Norte;Braga;De Carro (Condutor);De Carro (Condutor);175;mais de 36 minutos;Não uso;;;Vendedor. Não dá para andar de bicicleta ;Nada, não gosto., O meu trabalho não me permite usar a bicicleta;;;;;
45-49 anos;Masculino;Casado/a;Ensino Secundário;Soure;Coimbra;Centro;Coimbra;De Carro (Condutor);Mais nenhum;175;mais de 36 minutos;Para Desporto;;Não;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;2;;80
45-49 anos;Masculino;Divorciado/a;Licenciatura;Gondomar;Porto;Norte;Viseu;De Carro (Condutor);A pé;170;mais de 36 minutos;Para Lazer;;Sim;;Não me posso deslocar de bicicleta;0;Bicicleta de Cicloturismo, Bicicleta de Carga;1;80;
55-59 anos;Masculino;Casado/a;Ensino Secundário;Abrantes;Santarém;Centro;Lisboa;De Transporte Público;A pé, De Bicicleta, De Carro (Condutor);150;mais de 36 minutos;Para Desporto;;Sim;;Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino;0;Bicicleta de Cicloturismo, Bicicleta de Montanha;4;4;70
45-49 anos;Feminino;Casado/a;Licenciatura;Aveiro;Aveiro;Centro;Amares;De Carro (Condutor);A pé;150;mais de 36 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta, Tenho medo de andar de bicicleta no meio urbano;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino;;;;;
60-64 anos;Masculino;Divorciado/a;Licenciatura;Braga;Braga;Norte;Porto;De Mota (condutor);De Bicicleta;150;mais de 36 minutos;Para Desporto;1;Sim;;Conseguir articular o uso da bicicleta com outro modo de transporte;5;Bicicleta Elétrica, Bicicleta de Montanha;5;5;100
40-44 anos;Masculino;Casado/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;150;mais de 36 minutos;Não uso;;;Considero que não é o modo de transporte adequado ao meu estatuto;O meu trabalho não me permite usar a bicicleta;;;;;
40-44 anos;Feminino;Unido de Facto;Licenciatura;Arganil;Coimbra;Centro;Leiria;A pé;De Bicicleta, De Carro (Condutor);140;mais de 36 minutos;Para Desporto;;Sim;;Só se passasse a morar mais perto do destino;0;Bicicleta de Estrada;2;60;60
55-59 anos;Masculino;Casado/a;Mestrado;Entroncamento;Santarém;Centro;Amadora;De Transporte Público;A pé;130;mais de 36 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não me sinto confortável usar a bicicleta no meio do trânsito, A minha condição física não me permite andar de bicicleta, É perigoso andar de bicicleta, Andei muito de bicicleta como desporto e deslocamento para o trabalho, mas hoje tenho uma prótese na anca e tenho receio de cair.;Não me posso deslocar de bicicleta, Hoje trabalho longe de casa, mas qd não tinha problemas físicos, deslocava-me diariamente de bicicleta, fazia em média por dia 60 km;;;;;
45-49 anos;Masculino;Unido de Facto;Mestrado;Matosinhos;Porto;Norte;Condeixa-a-Nova;De Carro (Condutor);A pé, De Mota (condutor);130;mais de 36 minutos;Para Lazer;;Sim;;Ter estacionamento seguro para bicicletas no destino, Local de trabalho mais próximo da residência;0;Bicicleta de Montanha;1;10;
40-44 anos;Masculino;Unido de Facto;Licenciatura;Tomar;Santarém;Centro;Lisboa;De Carro (Condutor);A pé;125;mais de 36 minutos;Não uso;;;Já não ando de bicicleta há muitos anos;O meu trabalho não me permite usar a bicicleta;;;;;
60-64 anos;Masculino;Divorciado/a;Licenciatura;Braga;Braga;Norte;Porto;De Mota (condutor);A pé, De Bicicleta;120;mais de 36 minutos;Para Desporto;1;Sim;;Conseguir articular o uso da bicicleta com outro modo de transporte;5;Bicicleta de Montanha;4;;100
40-44 anos;Masculino;Casado/a;Licenciatura;Vila do Conde;Porto;Norte;Braga;De Carro (Condutor);Mais nenhum;120;mais de 36 minutos;Não uso;;;Não me sinto confortável usar a bicicleta no meio do trânsito;O meu trabalho não me permite usar a bicicleta;;;;;
45-49 anos;Masculino;Solteiro/a;Ensino Secundário;Abrantes;Santarém;Centro;Abrantes;De Carro (Condutor);Mais nenhum;115;mais de 36 minutos;Para Desporto;;Sim;;Segurança pelo facto de ter que me deslocar de noite.;0;Bicicleta de Estrada, Bicicleta de Montanha;4;200;200
40-44 anos;Masculino;Casado/a;Licenciatura;Maia;Porto;Norte;Aveiro;De Bicicleta;De Carro (Condutor);110;mais de 36 minutos;Como Modo de Transporte;3;Não;;Mais nada, já vou de bicicleta;60;Bicicleta de Estrada;3;20;40
50-54 anos;Masculino;Divorciado/a;Licenciatura;Alcochete;Setúbal;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);Mais nenhum;100;mais de 36 minutos;Para Desporto;;Sim;;Não me posso deslocar de bicicleta;0;Bicicleta de Estrada;3;;300
40-44 anos;Masculino;Casado/a;Licenciatura;Amares;Braga;Norte;Braga;De Carro (Condutor);A pé;10;5 a 20 minutos;Para Lazer;;Sim;;O meu trabalho não me permite usar a bicicleta;500;Bicicleta de Estrada, Bicicleta de Montanha;1;100;100
55-59 anos;Feminino;Casado/a;Licenciatura;Arruda dos Vinhos;Lisboa;Centro;Arruda dos Vinhos;De Carro (Condutor);A pé;10;Menos de 5 minutos;Não uso;;;Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Moro longe, Há muitas subidas no meu percurso, Não consigo combinar a bicicleta com a rede de transporte público, Moro numa aldeia longe dos centros urbanos mais perto e as estradas são estreitas, em serra e, embora com pouco trânsito, com condutores que me causam uma sensação de perigo à espreita;Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Conseguir articular o uso da bicicleta com outro modo de transporte, Ganhar mais confiança, a bicicleta é algo que me deixa desconfortável ;;;;;
40-44 anos;Feminino;Unido de Facto;Mestrado;Braga;Braga;Norte;Valença;De Carro (Condutor);De Carro (Passageiro);100;mais de 36 minutos;Não uso;;;Moro longe, Não acho prático;Só se passasse a morar mais perto do destino, Ter vantagens por ir de bicicleta para o destino;;;;;
50-54 anos;Masculino;Unido de Facto;Licenciatura;Caldas da Rainha;Leiria;Centro;Caldas da Rainha;De Transporte Público;De Mota (condutor);100;mais de 36 minutos;Para Lazer;5;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;35;Bicicleta Dobrável;4;160;100
60-64 anos;Masculino;Casado/a;Ensino Secundário;Chamusca;Santarém;Alentejo;Lisboa;De Mota (condutor);De Transporte Público;100;mais de 36 minutos;Não uso;;;Moro longe;O meu trabalho não me permite usar a bicicleta;;;;;
45-49 anos;Masculino;Casado/a;Licenciatura;Coimbra;Coimbra;Centro;Coimbra;De Carro (Condutor);Mais nenhum;100;mais de 36 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada, Bicicleta de Montanha;5;;200
45-49 anos;Masculino;Casado/a;Ensino Secundário;Constância;Santarém;Centro;Abrantes;De Carro (Condutor);Mais nenhum;100;mais de 36 minutos;Para Desporto;;Sim;;Ter vantagens por ir de bicicleta para o destino, O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;1;;50
55-59 anos;Masculino;Casado/a;Ensino Secundário;Entroncamento;Santarém;Centro;Nisa;De Carro (Condutor);A pé, De Carro (Passageiro);100;mais de 36 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações, Não quero chegar molhado, Não quero chegar suado, A minha condição física não me permite andar de bicicleta, não acho necessário.;Não me posso deslocar de bicicleta, a rede de bicicletas ser gratuita.;;;;;
80-85 anos;Masculino;Casado/a;Licenciatura;Lisboa;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Bicicleta;De Transporte Público;100;mais de 36 minutos;Para Lazer;5;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;20;Bicicleta de Cicloturismo;5;100;30
35-39 anos;Masculino;Unido de Facto;Licenciatura;Odivelas;Lisboa;Área Metropolitana de Lisboa;Loures;De Carro (Condutor);Mais nenhum;100;mais de 36 minutos;Para Desporto;;Sim;;Só se passasse a morar mais perto do destino;0;Bicicleta de Estrada, Bicicleta de Montanha;1;;100
45-49 anos;Masculino;Divorciado/a;Formação Técnica;Santiago do Cacém;Setúbal;Alentejo;Santiago do Cacém;De Carro (Condutor);A pé, De Bicicleta, De Carro (Condutor), De Carro (Passageiro);100;mais de 36 minutos;Para Lazer;;Sim;;O meu trabalho não me permite usar a bicicleta;1;Bicicleta de Montanha;1;45;
35-39 anos;Masculino;Casado/a;Mestrado;Viseu;Viseu;Centro;Aveiro;De Carro (Condutor);A pé;100;mais de 36 minutos;Para Desporto;;Não;;Só se passasse a morar mais perto do destino;0;Bicicleta de Estrada;1;;30
55-59 anos;Masculino;Casado/a;Licenciatura;Lisboa;Lisboa;Área Metropolitana de Lisboa;Santarém;De Carro (Condutor);A pé, De Bicicleta;98;mais de 36 minutos;Para Desporto;1;Sim;;O meu trabalho não me permite usar a bicicleta;5;Bicicleta de Montanha;2;10;30
45-49 anos;Feminino;Casado/a;Doutoramento;Aveiro;Aveiro;Centro;Viseu;A pé;De Carro (Condutor);90;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino;2;Bicicleta Urbana/Convencional;1;3;
50-54 anos;Masculino;Casado/a;Licenciatura;Lagos;Faro;Algarve;Faro;De Carro (Condutor);Mais nenhum;90;mais de 36 minutos;Para Desporto;;Sim;;Só se passasse a morar mais perto do destino;0;Bicicleta de Montanha;2;;90
55-59 anos;Masculino;Casado/a;Ensino Básico (3.º Ciclo);Setúbal;Setúbal;Área Metropolitana de Lisboa;Cascais;De Carro (Condutor);Mais nenhum;90;mais de 36 minutos;Para Desporto;;Não;;Não me posso deslocar de bicicleta, O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;1;;50
50-54 anos;Masculino;Casado/a;Mestrado;Vila do Conde;Porto;Norte;Porto;De Carro (Condutor);De Bicicleta, De Mota (condutor);90;mais de 36 minutos;Para Desporto;;Não;;Não me posso deslocar de bicicleta;0;Bicicleta de Estrada, Bicicleta de Montanha;2;;90
50-54 anos;Masculino;Casado/a;Ensino Secundário;Amarante;Porto;Norte;Porto;De Transporte Público;De Carro (Condutor);85;mais de 36 minutos;Para Desporto;;Sim;;Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Montanha;4;;320
30-34 anos;Masculino;Solteiro/a;Outro;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;8,5;5 a 20 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Tenho medo de andar de bicicleta no meio urbano, Não quero chegar molhado, Não quero chegar suado, Não gosto de andar de bicicleta, Não tenho cadeado e luzes para usar a minha bicicleta na cidade, Não acho prático, É perigoso andar de bicicleta, Considero que não é o modo de transporte adequado ao meu estatuto, Tenho medo que me roubem a bicicleta, Não tenho onde guardar a minha bicicleta;Nada, não gosto, Nada, considero que não é o modo de transporte adequado ao meu estatuto, Ter ciclovias seguras de casa até ao meu destino, Receber por cada km que pedalasse;;;;;
55-59 anos;Masculino;Casado/a;Licenciatura;Ponte de Lima;Viana do Castelo;Norte;Porto;De Carro (Condutor);Mais nenhum;85;mais de 36 minutos;Para Lazer;;Sim;;Só se passasse a morar mais perto do destino;250;Bicicleta de Montanha;3;250;
60-64 anos;Masculino;Casado/a;Licenciatura;Sintra;Lisboa;Área Metropolitana de Lisboa;Amadora;De Transporte Público;De Transporte Público;85;mais de 36 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta, Tenho medo de andar de bicicleta no meio urbano, Moro longe, É caro ter uma bicicleta, Preocupa-me lidar com problemas mecânicos, Tenho medo que me roubem a bicicleta, Não tenho onde guardar a minha bicicleta, Não tenho equipamento;Ter uma bicicleta, Não me posso deslocar de bicicleta, O meu trabalho não me permite usar a bicicleta;;;;;
35-39 anos;Masculino;Solteiro/a;Doutoramento;Aveiro;Aveiro;Centro;Porto;De Transporte Público;A pé, De Bicicleta, De Carro (Condutor);80;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta Urbana/Convencional;1;10;
50-54 anos;Masculino;Casado/a;Ensino Secundário;Évora;Évora;Alentejo;Évora;De Carro (Condutor);De Transporte Público;80;mais de 36 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Estrada, Bicicleta de Montanha;6;;500
50-54 anos;Masculino;Casado/a;Ensino Secundário;Évora;Évora;Alentejo;Beja;De Transporte Público;A pé, De Carro (Condutor);80;mais de 36 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Estrada, Bicicleta de Montanha;6;50;600
40-44 anos;Masculino;Casado/a;Licenciatura;Guimarães;Braga;Norte;Mesão Frio;De Carro (Condutor);Mais nenhum;80;mais de 36 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino;0;Bicicleta de Montanha;1;40;40
50-54 anos;Masculino;Casado/a;Formação Técnica;Lisboa;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);Mais nenhum;80;mais de 36 minutos;Para Lazer;;Sim;;Não me posso deslocar de bicicleta;0;Bicicleta de Montanha;3;100;100
25-29 anos;Masculino;Solteiro/a;Ensino Secundário;Mafra;Lisboa;Área Metropolitana de Lisboa;Torres Vedras;De Bicicleta;De Mota (condutor);80;mais de 36 minutos;Para Desporto;2;Não;;Ter estacionamento seguro para bicicletas no destino;50;Bicicleta de Estrada, Bicicleta de Montanha;6;50;300
40-44 anos;Masculino;Solteiro/a;Doutoramento;Porto;Porto;Norte;Aveiro;De Carro (Condutor);A pé, De Bicicleta, De Transporte Público, De Mota (condutor);80;mais de 36 minutos;Como Modo de Transporte;1;Sim;;Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino;10;Bicicleta de Montanha, Bicicleta Dobrável;2;20;
50-54 anos;Masculino;Casado/a;Ensino Básico (2.º Ciclo);Santiago do Cacém;Setúbal;Alentejo;Odemira;De Carro (Condutor);Mais nenhum;80;mais de 36 minutos;Para Desporto;;Não;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;1;50;50
50-54 anos;Masculino;Unido de Facto;Ensino Básico (3.º Ciclo);Seixal;Setúbal;Área Metropolitana de Lisboa;Setúbal;De Carro (Condutor);De Carro (Condutor);80;mais de 36 minutos;Para Desporto;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta Elétrica, Bicicleta de Montanha;4;;180
50-54 anos;Masculino;Casado/a;Licenciatura;Viana do Castelo;Viana do Castelo;Norte;Porto;De Transporte Público;A pé, De Bicicleta, De Mota (condutor), De Carro (Condutor), De Carro (Passageiro);80;mais de 36 minutos;Como Modo de Transporte;5;Não;;Mais nada, já vou de bicicleta., Garantir que os carros andem a uma velocidade reduzida, Conseguir articular o uso da bicicleta com outro modo de transporte;30;Bicicleta de Montanha, Bicicleta Dobrável elétrica;6;10;100
45-49 anos;Feminino;Casado/a;Licenciatura;Aveiro;Aveiro;Centro;Porto;De Transporte Público;A pé;79;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte, Não me posso deslocar de bicicleta, O meu trabalho não me permite usar a bicicleta;0;Bicicleta Urbana/Convencional;1;2;
40-44 anos;Feminino;Unido de Facto;Licenciatura;Aveiro;Aveiro;Centro;Porto;De Carro (Condutor);A pé, De Transporte Público;75;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino;0;Bicicleta Urbana/Convencional;1;6;
35-39 anos;Feminino;Solteiro/a;Ensino Secundário;Bombarral;Leiria;Centro;Lisboa;De Transporte Público;A pé;75;mais de 36 minutos;Para Lazer;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;1;Bicicleta de Montanha;1;5;
45-49 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Viana do Castelo;De Carro (Condutor);Mais nenhum;75;mais de 36 minutos;Para Desporto;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada;4;;250
45-49 anos;Masculino;Casado/a;Licenciatura;Vila Verde;Braga;Norte;Paredes;De Carro (Condutor);Mais nenhum;75;mais de 36 minutos;Para Desporto;;Não;;Só se passasse a morar mais perto do destino, O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;2;;50
15-19 anos;Feminino;Solteiro/a;Ensino Básico (3.º Ciclo);Vila Verde;Braga;Norte;Vila Verde;De Transporte Público;Mais nenhum;73,3;mais de 36 minutos;Para Lazer;1;Sim;;Só se passasse a morar mais perto do destino;0;Bicicleta de Estrada;1;;
45-49 anos;Masculino;Casado/a;Licenciatura;Arruda dos Vinhos;Lisboa;Centro;Lisboa;De Carro (Condutor);A pé;70;mais de 36 minutos;Para Desporto;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada;2;;100
45-49 anos;Feminino;Solteiro/a;Licenciatura;Aveiro;Aveiro;Centro;Porto;De Carro (Condutor);Mais nenhum;70;mais de 36 minutos;Não uso;;;Moro longe;Ter ciclovias seguras de casa até ao meu destino;;;;;
65-69 anos;Masculino;Unido de Facto;Ensino Básico (3.º Ciclo);Fafe;Braga;Norte;Póvoa de Lanhoso;De Carro (Condutor);De Bicicleta;70;mais de 36 minutos;Para Desporto;;Não;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada;2;;120
55-59 anos;Masculino;Solteiro/a;Formação Técnica;Lisboa;Lisboa;Área Metropolitana de Lisboa;Torres Vedras;De Carro (Condutor);A pé;70;mais de 36 minutos;Não uso;;;Não é prático nem viável para o meu trabalho ;Alternativa seria talvez uma mota ;;;;;
80-85 anos;Masculino;Casado/a;Ensino Secundário;Palmela;Setúbal;Área Metropolitana de Lisboa;Montemor-o-Novo;A pé;De Carro (Condutor);70;mais de 36 minutos;Para Lazer;;Não;;Nada, não gosto.;0;Bicicleta de Montanha;2;55;
35-39 anos;Feminino;Unido de Facto;Ensino Secundário;Portimão;Faro;Algarve;Loulé;De Carro (Condutor);A pé;70;mais de 36 minutos;Para Lazer;;Sim;;Só se passasse a morar mais perto do destino, O meu trabalho não me permite usar a bicicleta;0;Bicicleta Urbana/Convencional;1;3;
45-49 anos;Masculino;Divorciado/a;Mestrado;Santarém;Santarém;Alentejo;Lisboa;De Carro (Condutor);A pé;70;mais de 36 minutos;Para Desporto;;Não;;Ter ciclovias seguras de casa até ao meu destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Estrada;1;;75
45-49 anos;Feminino;Solteiro/a;Licenciatura;Viana do Castelo;Viana do Castelo;Norte;Braga;De Carro (Condutor);Mais nenhum;70;mais de 36 minutos;Para Lazer;2;Sim;;Só se passasse a morar mais perto do destino;0;Bicicleta Elétrica;2;20;
30-34 anos;Masculino;Unido de Facto;Licenciatura;Viseu;Viseu;Centro;Águeda;De Carro (Condutor);De Bicicleta;70;mais de 36 minutos;Para Desporto;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;140;Bicicleta de Estrada, Bicicleta de Montanha;5;;100
60-64 anos;Masculino;Divorciado/a;Doutoramento;Fafe;Braga;Norte;Matosinhos;De Carro (Condutor);A pé;68;mais de 36 minutos;Para Lazer;;Sim;;Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta Dobrável;2;60;
